id,FirstName,LastName,KnesstetSiteId,ImageUrl
2122,אבא,אבן,236,https://fs.knesset.gov.il/globaldocs/MK/236/1_236_3_606.jpeg
2123,בנימין,אבניאל,237,https://fs.knesset.gov.il/globaldocs/MK/237/1_237_3_608.jpeg
2124,אורי,אבנרי,238,https://fs.knesset.gov.il/globaldocs/MK/238/1_238_3_610.jpeg
2125,אהוד,אבריאל,239,https://fs.knesset.gov.il/globaldocs/MK/239/1_239_3_612.jpeg
2132,אורי,אור,4,https://fs.knesset.gov.il/globaldocs/MK/4/1_4_3_13.jpeg
2133,יעקב,אורי,246,https://fs.knesset.gov.il/globaldocs/MK/246/1_246_3_624.jpeg
2134,ברוך,אזניה,247,https://fs.knesset.gov.il/globaldocs/MK/247/1_247_3_626.jpeg
2135,יוסף,אחימאיר,131,https://fs.knesset.gov.il/globaldocs/MK/131/1_131_3_354.jpeg
2136,בבה,אידלסון,248,https://fs.knesset.gov.il/globaldocs/MK/248/1_248_3_628.jpeg
2137,עזרא,איכילוב,249,https://fs.knesset.gov.il/globaldocs/MK/249/1_249_3_630.jpeg
2138,רפאל,איתן,10,https://fs.knesset.gov.il/globaldocs/MK/10/1_10_3_32.jpeg
2139,מרדכי,אלגרבלי,252,https://fs.knesset.gov.il/globaldocs/MK/252/1_252_3_636.jpeg
2140,צבי,אלדרוטי,253,https://fs.knesset.gov.il/globaldocs/MK/253/1_253_3_638.jpeg
2141,רפאל,אלול,11,https://fs.knesset.gov.il/globaldocs/MK/11/1_11_3_34.jpeg
2142,יגאל,אלון,682,https://fs.knesset.gov.il/globaldocs/MK/682/1_682_3_1490.jpeg
2143,שולמית,אלוני,132,https://fs.knesset.gov.il/globaldocs/MK/132/1_132_3_356.jpeg
2144,סיף-אלדין,אלזועבי,251,https://fs.knesset.gov.il/globaldocs/MK/251/1_251_3_634.jpeg
2145,אריה,אלטמן,254,https://fs.knesset.gov.il/globaldocs/MK/254/1_254_3_640.jpeg
